service_id,date,exception_type
000001,20181217,1
000001,20190114,1
000001,20190121,1
000001,20190128,1
000001,20190211,1
000001,20190218,1
000001,20190225,1
000001,20190311,1
000001,20190318,1
000001,20190325,1
000001,20190408,1
000001,20190415,1
000001,20190513,1
000001,20190520,1
000001,20190603,1
000001,20190624,1
000001,20190708,1
000001,20190722,1
000001,20190812,1
000001,20190826,1
000001,20190916,1
000001,20190923,1
000001,20191014,1
000001,20191021,1
000001,20191104,1
000001,20191111,1
000001,20191118,1
000001,20191202,1
000002,20181218,1
000002,20190115,1
000002,20190122,1
000002,20190129,1
000002,20190212,1
000002,20190219,1
000002,20190226,1
000002,20190312,1
000002,20190319,1
000002,20190326,1
000002,20190409,1
000002,20190416,1
000002,20190514,1
000002,20190521,1
000002,20190604,1
000002,20190625,1
000002,20190709,1
000002,20190723,1
000002,20190813,1
000002,20190827,1
000002,20190917,1
000002,20190924,1
000002,20191015,1
000002,20191022,1
000002,20191105,1
000002,20191112,1
000002,20191119,1
000002,20191203,1
000003,20181217,1
000003,20190114,1
000003,20190121,1
000003,20190128,1
000003,20190211,1
000003,20190218,1
000003,20190225,1
000003,20190311,1
000003,20190318,1
000003,20190325,1
000003,20190415,1
000003,20190513,1
000003,20190520,1
000003,20190603,1
000003,20190624,1
000003,20190708,1
000003,20190722,1
000003,20190812,1
000003,20190826,1
000003,20190916,1
000003,20190923,1
000003,20191014,1
000003,20191021,1
000003,20191104,1
000003,20191111,1
000003,20191118,1
000003,20191202,1
000004,20190408,1
000005,20181218,1
000005,20190115,1
000005,20190122,1
000005,20190129,1
000005,20190212,1
000005,20190219,1
000005,20190226,1
000005,20190312,1
000005,20190319,1
000005,20190326,1
000005,20190416,1
000005,20190514,1
000005,20190521,1
000005,20190604,1
000005,20190625,1
000005,20190709,1
000005,20190723,1
000005,20190813,1
000005,20190827,1
000005,20190917,1
000005,20190924,1
000005,20191015,1
000005,20191022,1
000005,20191105,1
000005,20191112,1
000005,20191119,1
000005,20191203,1
000006,20190409,1
000007,20190223,1
000007,20190224,1
000007,20190302,1
000007,20190303,1
000007,20190309,1
000007,20190310,1
000007,20190316,1
000007,20190317,1
000007,20190323,1
000007,20190324,1
000008,20190223,1
000008,20190302,1
000008,20190309,1
000008,20190316,1
000008,20190323,1
000009,20190112,1
000009,20190119,1
000009,20190126,1
000009,20190202,1
000009,20190209,1
000009,20190216,1
000010,20190112,1
000010,20190113,1
000010,20190119,1
000010,20190120,1
000010,20190126,1
000010,20190127,1
000010,20190202,1
000010,20190203,1
000010,20190209,1
000010,20190210,1
000010,20190216,1
000010,20190217,1
000011,20190224,1
000011,20190303,1
000011,20190310,1
000011,20190317,1
000011,20190324,1
000012,20190112,1
000012,20190113,1
000012,20190119,1
000012,20190120,1
000012,20190127,1
000012,20190203,1
000012,20190210,1
000012,20190217,1
000013,20190112,1
000013,20190119,1
000014,20190112,1
000014,20190113,1
000014,20190119,1
000014,20190120,1
000015,20190111,1
000015,20190112,1
000015,20190113,1
000015,20190118,1
000015,20190119,1
000015,20190120,1
000015,20190125,1
000015,20190201,1
000015,20190208,1
000015,20190215,1
000016,20190111,1
000016,20190112,1
000016,20190113,1
000016,20190118,1
000016,20190119,1
000016,20190120,1
000016,20190125,1
000016,20190126,1
000016,20190127,1
