trip_id,stop_sequence,service_id,stop_id
1,1,000001,8000096_5       
1,2,000001,8005767_3       
1,3,000001,8005770_2       
1,4,000001,8005778_11      
1,5,000001,8004338_1       
1,6,000001,8003409_1       
1,7,000001,8006268_1       
1,8,000001,8001476_2       
1,9,000001,8002892_2       
1,10,000001,8003652_2       
1,11,000001,8005236_2       
1,12,000001,8000313_3       
1,13,000001,8003831_1       
1,14,000001,8006271_1       
2,1,000001,8006271_1       
2,2,000001,8003831_2       
2,3,000001,8000313_2       
2,4,000001,8005236_1       
2,5,000001,8003652_1       
2,6,000001,8002892_1       
2,7,000001,8001476_3       
2,8,000155,8006268_1       
2,8,000156,8006268_2       
2,9,000001,8003409_3       
2,10,000001,8004338_2       
2,11,000001,8005778_12      
2,12,000001,8005770_1       
2,13,000001,8005767_4       
2,14,000001,8000096_5       
3,1,000001,8000096_5       
3,2,000001,8005767_3       
3,3,000001,8005770_2       
3,4,000001,8005778_11      
3,5,000001,8004338_1       
3,6,000001,8003409_1       
3,7,000001,8006268_1       
3,8,000001,8001476_2       
3,9,000001,8002892_2       
3,10,000001,8003652_2       
3,11,000001,8005236_2       
3,12,000001,8000313_3       
3,13,000001,8003831_1       
3,14,000001,8006271_1       
4,1,000001,8006271_1       
4,2,000001,8003831_2       
4,3,000001,8000313_2       
4,4,000001,8005236_1       
4,5,000001,8003652_1       
4,6,000001,8002892_1       
4,7,000001,8001476_3       
4,8,000155,8006268_1       
4,8,000156,8006268_2       
4,9,000001,8003409_3       
4,10,000001,8004338_2       
4,11,000001,8005778_12      
4,12,000001,8005770_1       
4,13,000001,8005767_4       
4,14,000001,8000096_5       
5,1,000001,8000096_5       
5,2,000001,8005767_3       
5,3,000001,8005770_2       
5,4,000001,8005778_11      
5,5,000001,8004338_1       
6,1,000001,8006271_1       
6,2,000001,8003831_2       
6,3,000001,8000313_2       
6,4,000001,8005236_1       
6,5,000001,8003652_1       
6,6,000001,8002892_1       
6,7,000001,8001476_3       
6,8,000155,8006268_1       
6,8,000156,8006268_2       
6,9,000001,8003409_3       
6,10,000001,8004338_2       
6,11,000001,8005778_12      
6,12,000001,8005770_1       
6,13,000001,8005767_4       
6,14,000001,8000096_5       
7,1,000002,8000096_5       
7,2,000002,8005767_3       
7,3,000002,8005770_2       
7,4,000002,8005778_11      
7,5,000002,8004338_1       
7,6,000002,8003409_1       
7,7,000002,8006268_1       
7,8,000002,8001476_2       
7,9,000002,8002892_2       
7,10,000002,8003652_2       
7,11,000002,8005236_2       
7,12,000002,8000313_3       
7,13,000002,8003831_1       
7,14,000002,8006271_1       
8,1,000001,8006271_1       
8,2,000001,8003831_2       
8,3,000001,8000313_2       
8,4,000001,8005236_1       
8,5,000001,8003652_1       
8,6,000001,8002892_1       
8,7,000001,8001476_3       
8,8,000155,8006268_1       
8,8,000156,8006268_2       
8,9,000001,8003409_3       
8,10,000001,8004338_2       
8,11,000001,8005778_12      
8,12,000001,8005770_1       
8,13,000001,8005767_4       
8,14,000001,8000096_5       
9,1,000002,8000096_5       
9,2,000002,8005767_3       
9,3,000002,8005770_2       
9,4,000002,8005778_11      
9,5,000002,8004338_1       
9,6,000002,8003409_1       
9,7,000002,8006268_1       
9,8,000002,8001476_2       
9,9,000002,8002892_2       
9,10,000002,8003652_2       
9,11,000002,8005236_2       
9,12,000002,8000313_3       
9,13,000002,8003831_1       
9,14,000002,8006271_1       
10,1,000001,8006271_2       
10,2,000001,8003831_2       
10,3,000001,8000313_2       
10,4,000001,8005236_1       
10,5,000001,8003652_1       
10,6,000001,8002892_1       
10,7,000001,8001476_3       
10,8,000155,8006268_1       
10,8,000156,8006268_2       
10,9,000001,8003409_3       
11,1,000001,8005768_2       
11,2,000001,8001650_2       
11,3,000001,8003622_2       
11,4,000001,8004496_2       
11,5,000001,8005773_3       
11,6,000001,8005776_3       
12,1,000002,8006271_1       
12,2,000002,8003831_2       
12,3,000002,8000313_2       
12,4,000002,8005236_1       
12,5,000002,8003652_1       
12,6,000002,8002892_1       
12,7,000002,8001476_3       
12,8,000141,8006268_1       
12,8,000152,8006268_2       
12,9,000002,8003409_3       
12,10,000002,8004338_2       
12,11,000002,8005778_12      
12,12,000002,8005770_1       
12,13,000002,8005767_4       
12,14,000002,8000096_5       
13,1,000001,8005768_2       
13,2,000001,8001650_2       
13,3,000001,8003622_2       
13,4,000001,8004496_2       
13,5,000001,8005773_3       
13,6,000001,8005776_3       
14,1,000001,8005776_2       
14,2,000001,8005773_2       
14,3,000001,8004496_1       
14,4,000001,8003622_1       
14,5,000001,8001650_1       
14,6,000001,8005768_2       
15,1,000001,8005768_2       
15,2,000001,8001650_2       
15,3,000001,8003622_2       
15,4,000001,8004496_2       
15,5,000001,8005773_3       
15,6,000001,8005776_3       
16,1,000001,8005776_2       
16,2,000001,8005773_2       
16,3,000001,8004496_1       
16,4,000001,8003622_1       
16,5,000001,8001650_1       
16,6,000001,8005768_2       
17,1,000001,8005768_2       
17,2,000001,8001650_2       
17,3,000001,8003622_2       
17,4,000001,8004496_2       
17,5,000001,8005773_3       
18,1,000001,8002785_2       
18,2,000001,8004490_2       
18,3,000001,8002165_2       
18,4,000001,8001689_1       
18,5,000001,8003022_2       
18,6,000001,8001055_3       
18,7,000001,8005201_2       
18,8,000001,8005773_3       
18,9,000001,8005776_3       
18,10,000001,8000096_6       
18,11,000001,8005769_3       
18,12,000003,8006743_2       
18,13,000003,8005775_6       
18,14,000003,8005772_6       
18,15,000001,8001921_4       
18,16,000001,8001920_8       
18,17,000001,8004528_4       
18,18,000001,8006642_4       
18,19,000001,8000508_4       
18,20,000001,8000302_9       
18,21,000001,8006346_2       
18,22,000001,8006331_11      
18,23,000001,8003282_1       
18,24,000001,8003280_2       
19,1,000001,8002785_2       
19,2,000001,8004490_2       
19,3,000001,8002165_2       
19,4,000001,8001689_1       
19,5,000001,8003022_2       
19,6,000001,8001055_3       
19,7,000001,8005201_2       
19,8,000001,8005773_3       
19,9,000001,8005776_3       
19,10,000001,8000096_6       
19,11,000001,8005769_3       
19,12,000001,8001921_4       
19,13,000001,8001920_8       
19,14,000001,8004528_4       
19,15,000001,8006642_4       
19,16,000001,8000508_4       
19,17,000001,8000302_9       
19,18,000001,8006346_2       
19,19,000001,8006331_11      
19,20,000001,8003282_1       
19,21,000001,8003280_2       
20,1,000001,8003280_2       
20,2,000001,8003282_1       
20,3,000001,8006331_12      
20,4,000001,8006346_1       
20,5,000001,8000302_9       
20,6,000001,8000508_3       
20,7,000001,8006642_3       
20,8,000001,8004528_3       
20,9,000001,8001920_7       
20,10,000001,8001921_3       
20,11,000003,8005772_5       
20,12,000003,8005775_5       
20,13,000003,8006743_1       
20,14,000001,8005769_2       
20,15,000001,8000096_5       
20,16,000001,8005776_1       
20,17,000157,8005773_2       
20,18,000157,8005201_1       
20,19,000001,8001055_4       
20,20,000001,8003022_1       
20,21,000001,8001689_2       
20,22,000001,8002165_1       
20,23,000001,8004490_1       
20,24,000001,8002785_3       
21,1,000001,8003280_2       
21,2,000001,8003282_1       
21,3,000001,8006331_12      
21,4,000001,8006346_1       
21,5,000001,8000302_9       
21,6,000001,8000508_3       
21,7,000001,8006642_3       
21,8,000001,8004528_3       
21,9,000001,8001920_7       
21,10,000001,8001921_3       
21,11,000001,8005769_2       
21,12,000001,8000096_5       
21,13,000001,8005776_1       
21,14,000157,8005773_2       
21,15,000157,8005201_1       
21,16,000001,8001055_4       
21,17,000001,8003022_1       
21,18,000001,8001689_2       
21,19,000001,8002165_1       
21,20,000001,8004490_1       
21,21,000001,8002785_3       
22,1,000001,8002785_2       
22,2,000001,8004490_2       
22,3,000001,8002165_2       
22,4,000001,8001689_1       
22,5,000001,8003022_2       
22,6,000001,8001055_3       
22,7,000001,8005201_2       
22,8,000001,8005773_3       
22,9,000001,8005776_3       
22,10,000001,8000096_4       
22,11,000001,8005769_3       
22,12,000003,8006743_2       
22,13,000003,8005775_6       
22,14,000003,8005772_6       
22,15,000001,8001921_4       
22,16,000001,8001920_8       
22,17,000001,8004528_4       
22,18,000001,8006642_4       
22,19,000001,8000508_4       
22,20,000001,8000302_9       
22,21,000001,8006346_2       
23,1,000001,8002785_2       
23,2,000001,8004490_2       
23,3,000001,8002165_2       
23,4,000001,8001689_1       
23,5,000001,8003022_2       
23,6,000001,8001055_3       
23,7,000001,8005201_2       
23,8,000001,8005773_3       
23,9,000001,8005776_3       
23,10,000001,8000096_4       
23,11,000001,8005769_3       
23,12,000001,8001921_4       
23,13,000001,8001920_8       
23,14,000001,8004528_4       
23,15,000001,8006642_4       
23,16,000001,8000508_4       
23,17,000001,8000302_9       
23,18,000001,8006346_2       
24,1,000001,8003280_2       
24,2,000001,8003282_1       
24,3,000001,8006331_12      
24,4,000001,8006346_1       
24,5,000001,8000302_9       
24,6,000001,8000508_3       
24,7,000001,8006642_3       
24,8,000001,8004528_3       
24,9,000001,8001920_7       
24,10,000001,8001921_3       
24,11,000003,8005772_5       
24,12,000003,8005775_5       
24,13,000003,8006743_1       
24,14,000001,8005769_2       
24,15,000001,8000096_5       
24,16,000001,8005776_1       
24,17,000157,8005773_2       
24,18,000157,8005201_1       
24,19,000001,8001055_4       
24,20,000001,8003022_1       
24,21,000001,8001689_2       
24,22,000001,8002165_1       
24,23,000001,8004490_1       
24,24,000001,8002785_3       
25,1,000001,8003280_2       
25,2,000001,8003282_1       
25,3,000001,8006331_12      
25,4,000001,8006346_1       
25,5,000001,8000302_9       
25,6,000001,8000508_3       
25,7,000001,8006642_3       
25,8,000001,8004528_3       
25,9,000001,8001920_7       
25,10,000001,8001921_3       
25,11,000001,8005769_2       
25,12,000001,8000096_5       
25,13,000001,8005776_1       
25,14,000157,8005773_2       
25,15,000157,8005201_1       
25,16,000001,8001055_4       
25,17,000001,8003022_1       
25,18,000001,8001689_2       
25,19,000001,8002165_1       
25,20,000001,8004490_1       
25,21,000001,8002785_3       
26,1,000001,8002785_2       
26,2,000001,8004490_2       
