trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,22:48:00,22:48:00,8000096,1,,0,1,
1,22:51:00,22:51:00,8005767,2,,0,0,
1,22:53:00,22:54:00,8005770,3,,0,0,
1,22:56:00,22:57:00,8005778,4,,0,0,
1,22:58:00,22:58:00,8004338,5,,0,0,
1,23:01:00,23:01:00,8003409,6,,0,0,
1,23:03:00,23:03:00,8006268,7,,0,0,
1,23:06:00,23:06:00,8001476,8,,0,0,
1,23:09:00,23:09:00,8002892,9,,0,0,
1,23:13:00,23:13:00,8003652,10,,0,0,
1,23:16:00,23:16:00,8005236,11,,0,0,
1,23:19:00,23:22:00,8000313,12,,0,0,
1,23:24:00,23:24:00,8003831,13,,0,0,
1,23:27:00,23:27:00,8006271,14,,1,0,
2,21:33:00,21:33:00,8006271,1,,0,1,
2,21:35:00,21:35:00,8003831,2,,0,0,
2,21:37:00,21:41:00,8000313,3,,0,0,
2,21:43:00,21:44:00,8005236,4,,0,0,
2,21:47:00,21:47:00,8003652,5,,0,0,
2,21:50:00,21:51:00,8002892,6,,0,0,
2,21:54:00,21:54:00,8001476,7,,0,0,
2,21:56:00,21:56:00,8006268,8,,0,0,
2,21:58:00,21:59:00,8003409,9,,0,0,
2,22:01:00,22:01:00,8004338,10,,0,0,
2,22:03:00,22:04:00,8005778,11,,0,0,
2,22:06:00,22:06:00,8005770,12,,0,0,
2,22:08:00,22:09:00,8005767,13,,0,0,
2,22:12:00,22:12:00,8000096,14,,1,0,
3,23:18:00,23:18:00,8000096,1,,0,1,
3,23:21:00,23:21:00,8005767,2,,0,0,
3,23:23:00,23:24:00,8005770,3,,0,0,
3,23:26:00,23:27:00,8005778,4,,0,0,
3,23:28:00,23:28:00,8004338,5,,0,0,
3,23:31:00,23:31:00,8003409,6,,0,0,
3,23:33:00,23:33:00,8006268,7,,0,0,
3,23:36:00,23:36:00,8001476,8,,0,0,
3,23:39:00,23:39:00,8002892,9,,0,0,
3,23:43:00,23:43:00,8003652,10,,0,0,
3,23:46:00,23:46:00,8005236,11,,0,0,
3,23:49:00,23:52:00,8000313,12,,0,0,
3,23:54:00,23:54:00,8003831,13,,0,0,
3,23:57:00,23:57:00,8006271,14,,1,0,
4,22:03:00,22:03:00,8006271,1,,0,1,
4,22:05:00,22:05:00,8003831,2,,0,0,
4,22:07:00,22:11:00,8000313,3,,0,0,
4,22:13:00,22:14:00,8005236,4,,0,0,
4,22:17:00,22:17:00,8003652,5,,0,0,
4,22:20:00,22:21:00,8002892,6,,0,0,
4,22:24:00,22:24:00,8001476,7,,0,0,
4,22:26:00,22:26:00,8006268,8,,0,0,
4,22:28:00,22:29:00,8003409,9,,0,0,
4,22:31:00,22:31:00,8004338,10,,0,0,
4,22:33:00,22:34:00,8005778,11,,0,0,
4,22:36:00,22:36:00,8005770,12,,0,0,
4,22:38:00,22:39:00,8005767,13,,0,0,
4,22:42:00,22:42:00,8000096,14,,1,0,
5,23:48:00,23:48:00,8000096,1,,0,1,
5,23:51:00,23:51:00,8005767,2,,0,0,
5,23:53:00,23:54:00,8005770,3,,0,0,
5,23:56:00,23:57:00,8005778,4,,0,0,
5,23:58:00,23:58:00,8004338,5,,0,0,
5,24:01:00,24:01:00,8003409,6,,0,0,
5,24:03:00,24:03:00,8006268,7,,0,0,
5,24:06:00,24:06:00,8001476,8,,0,0,
5,24:09:00,24:09:00,8002892,9,,0,0,
5,24:13:00,24:13:00,8003652,10,,0,0,
5,24:16:00,24:16:00,8005236,11,,0,0,
5,24:19:00,24:22:00,8000313,12,,0,0,
5,24:24:00,24:24:00,8003831,13,,0,0,
5,24:27:00,24:27:00,8006271,14,,1,0,
6,22:33:00,22:33:00,8006271,1,,0,1,
6,22:35:00,22:35:00,8003831,2,,0,0,
6,22:37:00,22:41:00,8000313,3,,0,0,
6,22:43:00,22:44:00,8005236,4,,0,0,
6,22:47:00,22:47:00,8003652,5,,0,0,
6,22:50:00,22:51:00,8002892,6,,0,0,
6,22:54:00,22:54:00,8001476,7,,0,0,
6,22:56:00,22:56:00,8006268,8,,0,0,
6,22:58:00,22:59:00,8003409,9,,0,0,
6,23:01:00,23:01:00,8004338,10,,0,0,
6,23:03:00,23:04:00,8005778,11,,0,0,
6,23:06:00,23:06:00,8005770,12,,0,0,
