route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000361,1,Weil der Stadt,,,1,,1
1,000001,2,Stuttgart Hbf,,,2,,1
1,000361,3,Weil der Stadt,,,3,,1
1,000001,4,Stuttgart Hbf,,,4,,1
1,000362,5,Weil der Stadt,,,5,,1
1,000001,6,Stuttgart Hbf,,,6,,1
1,000363,7,Weil der Stadt,,,7,,1
1,000001,8,Stuttgart Hbf,,,8,,1
1,000363,9,Weil der Stadt,,,9,,1
1,000001,10,Stuttgart Hbf,,,10,,1
2,000001,11,Stuttgart-Vaihingen,,,11,,1
1,000002,12,Stuttgart Hbf,,,12,,1
2,000001,13,Stuttgart-Vaihingen,,,13,,1
2,000001,14,Stuttgart Flughafen/Messe,,,14,,1
2,000001,15,Stuttgart-Vaihingen,,,15,,1
2,000001,16,Stuttgart Flughafen/Messe,,,16,,1
2,000001,17,Stuttgart-Vaihingen,,,17,,1
3,000003,18,Kirchheim(Teck),,,18,,1
3,000004,19,Kirchheim(Teck),,,19,,1
3,000003,20,Herrenberg,,,20,,1
3,000004,21,Herrenberg,,,21,,1
3,000003,22,Kirchheim(Teck),,,22,,1
3,000004,23,Kirchheim(Teck),,,23,,1
3,000003,24,Herrenberg,,,24,,1
3,000004,25,Herrenberg,,,25,,1
3,000003,26,Kirchheim(Teck),,,26,,1
3,000004,27,Kirchheim(Teck),,,27,,1
3,000003,28,Herrenberg,,,28,,1
3,000004,29,Herrenberg,,,29,,1
3,000003,30,Kirchheim(Teck),,,30,,1
3,000004,31,Kirchheim(Teck),,,31,,1
3,000003,32,Herrenberg,,,32,,1
3,000004,33,Herrenberg,,,33,,1
3,000005,34,Kirchheim(Teck),,,34,,1
3,000006,35,Kirchheim(Teck),,,35,,1
3,000003,36,Herrenberg,,,36,,1
3,000004,37,Herrenberg,,,37,,1
4,000001,38,Schorndorf,,,38,,1
3,000005,39,Herrenberg,,,39,,1
3,000006,40,Herrenberg,,,40,,1
4,000001,41,Schorndorf,,,41,,1
4,000001,42,Filderstadt,,,42,,1
4,000001,43,Schorndorf,,,43,,1
4,000001,44,Filderstadt,,,44,,1
4,000001,45,Schorndorf,,,45,,1
4,000001,46,Filderstadt,,,46,,1
4,000002,47,Schorndorf,,,47,,1
4,000001,48,Filderstadt,,,48,,1
4,000002,49,Schorndorf,,,49,,1
4,000001,50,Filderstadt,,,50,,1
2,000001,51,Backnang,,,51,,1
4,000002,52,Filderstadt,,,52,,1
2,000001,53,Backnang,,,53,,1
2,000001,54,Stuttgart Hbf,,,54,,1
2,000001,55,Backnang,,,55,,1
2,000001,56,Stuttgart Hbf,,,56,,1
2,000002,57,Backnang,,,57,,1
2,000001,58,Stuttgart Hbf,,,58,,1
2,000002,59,Backnang,,,59,,1
2,000001,60,Stuttgart Hbf,,,60,,1
2,000002,61,Backnang,,,61,,1
5,000001,62,Stuttgart Hbf,,,62,,1
5,000361,63,Marbach(Neckar),,,63,,1
5,000001,64,Stuttgart Hbf,,,64,,1
5,000361,65,Backnang,,,65,,1
5,000001,66,Stuttgart Hbf,,,66,,1
5,000362,67,Marbach(Neckar),,,67,,1
5,000001,68,Stuttgart Hbf,,,68,,1
5,000363,69,Backnang,,,69,,1
5,000001,70,Stuttgart Hbf,,,70,,1
5,000363,71,Marbach(Neckar),,,71,,1
6,000001,72,Stuttgart Schwabstr.,,,72,,1
5,000363,73,Marbach(Neckar),,,73,,1
6,000001,74,Stuttgart Schwabstr.,,,74,,1
6,000001,75,Bietigheim-Bissingen,,,75,,1
6,000001,76,Stuttgart Schwabstr.,,,76,,1
6,000001,77,Bietigheim-Bissingen,,,77,,1
6,000001,78,Stuttgart Schwabstr.,,,78,,1
6,000001,79,Bietigheim-Bissingen,,,79,,1
6,000002,80,Stuttgart Schwabstr.,,,80,,1
6,000001,81,Bietigheim-Bissingen,,,81,,1
6,000002,82,Bietigheim-Bissingen,,,82,,1
6,000002,83,Bietigheim-Bissingen,,,83,,1
2,000007,84,Weil der Stadt,,,84,,1
1,000007,85,Weil der Stadt,,,84,,1
2,000008,86,Weil der Stadt,,,85,,1
1,000008,87,Weil der Stadt,,,85,,1
2,000009,88,Stuttgart Hbf (tief),,,86,,1
4,000010,89,Filderstadt,,,87,,1
1,000007,90,Stuttgart Flughafen/Messe,,,88,,1
2,000007,91,Stuttgart Flughafen/Messe,,,88,,1
2,000011,92,Stuttgart Flughafen/Messe,,,88,,1
2,000012,93,Stuttgart Hbf (tief),,,89,,1
2,000010,94,Stuttgart Hbf (tief),,,89,,1
2,000011,95,Weil der Stadt,,,90,,1
2,000007,96,Weil der Stadt,,,90,,1
1,000007,97,Weil der Stadt,,,90,,1
4,000010,98,Filderstadt,,,91,,1
1,000008,99,Stuttgart-Vaihingen,,,92,,1
2,000008,100,Stuttgart-Vaihingen,,,92,,1
2,000008,101,Weil der Stadt,,,93,,1
1,000008,102,Weil der Stadt,,,93,,1
2,000013,103,Stuttgart Hbf (tief),,,94,,1
2,000009,104,Stuttgart Hbf (tief),,,94,,1
4,000010,105,Filderstadt,,,95,,1
1,000007,106,Stuttgart Flughafen/Messe,,,96,,1
2,000007,107,Stuttgart Flughafen/Messe,,,96,,1
2,000011,108,Stuttgart Flughafen/Messe,,,96,,1
2,000011,109,Weil der Stadt,,,97,,1
2,000007,110,Weil der Stadt,,,97,,1
